"","score","review","writer","time","score_asnum"
"2139","10","최고의 최고를 봤다. 끝없이 최고를 만들어내는 마블 정말 사랑해  ","칼국수(sang****)","2019.07.03 07:18",10
"2140","10","너맨아카 ㅋㅋ 너만아까 로자꼬 머리에서 맴도네 웃기게생김  ","배재용(jaey****)","2019.07.03 07:11",10
"2141","10","갠적으로 앤드게임보다 스케일은 작아도 단단하게 꽉찼음  ","치찰희토(0812****)","2019.07.03 07:10",10
"2142","10","한 번 보고 포디로 꼭 다시 보겠다 다짐함..ㅎ  ","소연(sssy****)","2019.07.03 07:09",10
"2143","10","이게 10점이 아닐수가 있나  ","스틱코아(dusq****)","2019.07.03 06:57",10
"2144","10","피터의 성장하는 히어로로서의 모습 좋았어요 몇몇 액션 장면들 너무 좋아서 계속 생각나네요 톰홀랜드 연기도 최고  ","qkrtn(nfli****)","2019.07.03 06:54",10
"2145","10","우는 남자 좋아하는거 들킴  ","낭만(kthk****)","2019.07.03 06:53",10
"2146","10","ㅋㅋㅋ 유머코드가 맞아서 계속 웃었네  ","8685(gjs2****)","2019.07.03 06:46",10
"2147","10","피터의 정신적 성장을 너무 잘 다뤘음.화려한 액션은 덤.  ","여희수(yhs1****)","2019.07.03 06:43",10
"2148","10","여태 그냥 귀엽네 이러고 말았는데 이번 영화보고 팬됐어요ㅠㅠ 그냥이 아니야 겁나겁나 최강 귀여워요ㅠㅠ 중간중간 웃음포인트도 귀엽고 난리ㅠㅠ  ","hera****","2019.07.03 06:40",10
"2149","10","쿠키는 총 두개 첫번째꺼에서 바로 욕나옴  ","강백호백호홈런(pano****)","2019.07.03 06:38",10
"2150","10","와우 이거 재밌네  영화 끝나자 마자 든 생각  ","차현성(chs0****)","2019.07.03 06:38",10
"2151","10","I Will Always Love You  ","가론파크(acr7****)","2019.07.03 06:29",10
"2152","10","미스테리오 환상전투진짜 닥터스트레인지  뺨 풀스윙으로치는데  ","듀드아들(ayu1****)","2019.07.03 06:25",10
"2153","10","말도 안되게 재밌습니다  ","LimPossible(alvi****)","2019.07.03 06:22",10
"2154","9","스파이더맨을 봤는데 아이언맨 본거 같다  ","ming****","2019.07.03 06:21",9
"2155","8","관람객다 좋았다. 스파이더버스가 날아간 것 때문에 -2점..  ","시그너스(park****)","2019.07.03 06:15",8
"2156","10","이렇게나 사랑스럽고 귀여운 스파이더맨 이라니, 너무 즐거운 시간이었네요~한번더 보고싶을만큼 난 재밌었어요~^^*  ","가을(nice****)","2019.07.03 05:43",10
"2157","10","정말 시간가는 줄 모르고 본 영화, 근데 파이널 예고편 46~48초 장면은 왜 안 나오지? 편집된건가....ㅠㅜㅠ  ","과코(kyle****)","2019.07.03 05:25",10
"2158","7","스토리가 진부하게 느껴지지만 영상미만은 인정하게 됨, 특히 액션씬에서 슬로우 거는 부분!  ","us90****","2019.07.03 05:11",7
"2159","10","스파이더맨 영화중 가장 나이스했다. 감정이입도 잘 됐음.  ","산이(kais****)","2019.07.03 04:22",10
"2160","10","존잼이군요 ..인간에 뇌에서 이런 그래픽이 나오다니 ....  ","김수민(misu****)","2019.07.03 04:17",10
"2161","10","정말 땀이 났습니닼ㅋㅋ 겨터파크 열리고ㅋㅋ그만큼 긴장감도 많은 정말 전 톰 홀랜드 스파이더맨의 이번 영화가 스파이더맨 시리즈  중 최고인 거 같습니다  ","할로(0304****)","2019.07.03 04:15",10
"2162","10","재밌었음 다시 한번 더 보고 싶네  ","K사마(gagp****)","2019.07.03 03:26",10
"2163","10","하.. 얼마전에 본 글이 진짜 스포 였다니... 그 글이 진짠지  가짠지  판단하면서 보느라.. 내 영화ㅠㅠ 재밌긴 했지만 하... ㅠ 기억 삭제 좀 해주세요ㅠ  ","wusen(jans****)","2019.07.03 02:50",10
"2164","10","미친영화다,, 이번주내로 또 봐야지  ","PT CHO(oran****)","2019.07.03 02:49",10
"2165","10","스파이더맨이라 읽고 아이언맨이라 말한다  ","최병성(bs65****)","2019.07.03 02:10",10
"2166","9","눈뽕 오지고 철학적인 스파이더맨. 톰 홀랜드가 진정한 스파이더맨이다.  ","nike****","2019.07.03 00:45",9
"2167","9","와~ 정말 마블은 대단하다..  ","달나라참치(sida****)","2019.07.03 00:36",9
"2168","6","이런 특수 효과는 집 안에서 봤어도 됐을거다  ","좌충우돌 홍블러(hyj0****)","2019.07.02 23:17",6
"2169","10","두번보세요 10점도 적어요  ","연화(cls1****)","2019.07.02 23:03",10
"2170","10","굿 이어지는 스토리도 좋구..정말 재밌게 봤어요  ","러브홀릭(cici****)","2019.07.02 22:26",10
"2171","8","하도 유튜버들이 멀티버스 거리면서 기대심리 부풀려놔가지고  괜찮은 반전요소였는데도 불구하고, 김 빠지는 묘한 느낌이 들었네요 ..      그리고 내가 너무 마블 빌런뽕에 취해서 그런가, 되게 같잖은 놈이 드론가지고 허세부리는 느낌이라 좀 아쉬웠음 ㅜ  ","sin123(bioc****)","2019.07.02 21:42",8
"2172","10","관람객LOVE YOU 3000  ","예림이(jip0****)","2019.07.02 20:53",10
"2173","4","개인적으론 스파이더맨과 안맞는거 같음  ","송기석(sks2****)","2019.07.02 20:26",4
"2174","6","관람객어른이 없는 영화 .미숙함 과 유치함의 폭발  ","헉(sche****)","2019.07.02 20:17",6
"2175","4","솔직히 노잼 설정이 애라 그런지 연애생각만 가득함  ","삼보짱(stor****)","2019.07.02 19:46",4
"2176","8","기대가 너무커서 여친은 8점 저는6점 호불호가 갈릴영화  ","브록레스너(tjdw****)","2019.07.02 19:41",8
"2177","1","수면제 ㅡ 굿배고프고 잠옴  ","카페지기(reas****)","2019.07.02 18:58",1
"2178","8","나 진짜! 이거 곰곰히 생각했는데 반전에 반전이 너무나 많아서 앞으로 스파이더맨 영화시리즈가 더 관심가고 기대가 되네요, 그리고 미스테리오 진짜로 알고보면 양아치 새끼 입니다. 꼭 보세요!  ","강태일(gsh2****)","2019.07.02 18:03",8
"2179","2","관람객왠 컴퓨터영상만 잔뜩나옴 눈감음  ","okvi****","2019.07.02 16:52",2
"2180","7","솔직히 너무 진부하다...  ","맹구(ihj1****)","2019.07.02 15:06",7
"2181","7","저두 조조로 봤는데 제이크의 연기는 좋았는데 스파이더맨의 톰홀랜드와 여주인 mj인가요? 둘의 케미 너무 부자연스럽고 어색하더라구요. 톰홀랜드의 연기도 약간 아쉽구요. 천진난만한 1편의 연기는 좋았는데 좀더 심도있는 연기는 약간 부족한 점이 보이네요 ㅎ  ","알라곰(jins****)","2019.07.02 14:38",7
"2182","7","아이언맨 팔이로, 그런데 재미가 없었어요. 1편보다도 재미가 너무 없었네요...  ","도설아(kire****)","2019.07.02 14:36",7
"2183","10","여친생겨서 같이 보고 싶은 분 추천 눌리면 볼 수 있어요  ","희나리(snow****)","2019.07.02 14:00",10
"2184","2","실망... 돈 내고 볼 영화는 아닌듯..  ","강성구 영천(ksg7****)","2019.07.02 13:58",2
"2185","7","이것저것 담다보니 영화가 엉성해져 버렸다.  ","False Shuffle(kimh****)","2019.07.02 13:00",7
"2186","7","7점은 너무하고 8점주긴 아쉬움  ","뿌리뿌리붐붐(yalz****)","2019.07.02 12:28",7
"2187","10","스파이더맨계약 3편까지라며 마블유니버스에서 비중ㅈㄴ커졌는데 추후에 어떻게 할지 궁금함.별개로 영화는 재밌었음  ","33333(cjea****)","2019.07.02 12:07",10
"2188","10","개꿀잼이였습니다 마블  ","문령곤(mrg2****)","2019.07.02 12:07",10
"2189","10","역시 마블영화들은 다 재밌네요 쿠키영상도 대박 ㅎㅎ  ","허재(jhoo****)","2019.07.02 12:07",10
"2190","10","역대급 대존잼이다 소름소름소름  ","유담유주맘(youd****)","2019.07.02 12:05",10
"2191","10","관람객마블은 절대 팬들을 실망시키지 않아요!!!  ","포뇨포뇽(jm00****)","2019.07.02 11:30",10
"2192","8","기대하고 보지마!! 1편만 못하다  ","mimt****","2019.07.02 11:23",8
"2193","10","마블솔로영화 top3안에 들어간다  ","hiha****","2019.07.02 10:14",10
"2194","9","캡틴아메리카가 그리워지는 영화  ","윤하쓰(rudy****)","2019.07.02 09:57",9
"2195","10","오랫만에 만나는 국장님 반갑네요ㅎㅎ  ","홍순진(ghdt****)","2019.07.02 09:51",10
"2196","10","엔드게임 스케일 때문에 이제 다음 이야기 어떻게 이어 갈까 했는데 작은 에피소드로 완급 조절 잘한 한편의 본편 후담 같은 꿀잼 영화 잘 봤어요~~  ","달빛스친날(zryu****)","2019.07.02 09:46",10
"2197","10","묠니르와 방패를든 스파이더맨 ㅋㅋ  ","zoni****","2019.07.02 09:42",10
"2198","10","관람객ㅋㅋ유투버들오줌지렸겠네근데영화재밌음  ","Sonic(flyi****)","2019.07.02 09:41",10
"2199","10","스파이더맨 찌리릿~~!!!  ","dbfk****","2019.07.02 09:39",10
"2200","10","죽어서까지 영웅인 토니 스타크  ","준비중이다(ejdr****)","2019.07.02 09:38",10
"2201","10","스파이더맨이 똥싸고 똥치우는 영화  ","qnpf****","2019.07.02 09:36",10
"2202","10","쿠키영상 꼭보세요...OO  ","꾹꾹이(shk5****)","2019.07.02 09:00",10
"2203","1","왓더퍼ㄱ!!으로 끝나는게 리부트 스파이더맨 씨리즈의 일종의 트레이드 마크인듯..암튼 평을 해보자면 솔직히 진부 했음 스토리도 반전도.. 하지만 마블씨리즈 팬이거나 킬링타임용 으로는 충분히 볼만한 가치가 있음  ","멀대(sain****)","2019.07.03 13:33",1
"2204","10","졸잼이였습니다ㅠㅠ!!!그리구요 스파이더맨 재미없었으면 처음부터 보지말았어야죠;;;깔꺼면 앞에가서 까시길  뒤에서 이따구로 까지말고ㅋ  ","워니(poox****)","2019.07.03 12:04",10
"2205","8","1편보단 재미없지만 볼만할거 같네요  ","hooc****","2019.07.03 09:26",8
"2206","10","개인적으로 엔드게임 > 인피니티워 > 토르3 > 스파이더맨 파프롬홈 > 나머지 마블 영화라고 느낄정도로 스파이더맨파프롬홈 재미남.  ","색스파더맨파프롬홈(pras****)","2019.07.03 08:57",10
"2207","4","어제보고왔다~나름 히어로물 매니아고스파이더맨시리즈중 최악의 영화~~~개취이지만그전 스파이더맨편이 더 잼있었음~~알라딘볼걸  ","모나리자(1318****)","2019.07.03 08:28",4
"2208","8","같이본 초딩아들들은 굉장히 환호했으나..난 약간..하이틴영화를 보는 느낌이였음.  ","kyjn****","2019.07.03 07:35",8
"2209","10","예고편이 다 했음... 유튜버들 미스테리오 정체 아무도 못맞춤...ㅋㅋㅋㅋ  ","이너프(clas****)","2019.07.03 07:19",10
"2210","4","평작,그 이상도 이하도 아님  ","일곱별(s1ok****)","2019.07.03 01:28",4
"2211","4","액션은 멋있지만 나머지가 별루..  ","박문기(ansr****)","2019.07.03 01:20",4
"2212","6","지난 마블 시리즈에서 많은 일을 겪었고 우상 토니까지 본인 살리고 눈 앞에서 죽었는데 아직도 그렇게 어리광을 부리는게 말이 되나요 안경까지 넘기는거 보고 이건 아니다 싶었습니다 이번만큼은 성숙해지고 각성해서 나왔어야 했다고 봅니다  ","staa****","2019.07.03 01:12",6
"2213","7","관람객별로 재미잇지않네요ㅎㅎ  ","피카쿤란(sjm0****)","2019.07.02 23:12",7
"2214","2","총알을한발도안맞음 주윤발인줄....CG는 잘만듬  ","불량(subi****)","2019.07.02 22:37",2
"2215","10","보통 1편보다 2편이 재미없는데 이건 반대다. 더 재밌어짐  ","지똥꾸(dndk****)","2019.07.02 20:07",10
"2216","2","하이틴 로맨스 영화도 아니고  그냥  주인공도  답답하고  액션도  딱히 시원하지 않고  좀  지루한감이  많은 영화  ","박지훈(mymy****)","2019.07.02 20:01",2
"2217","10","모든걸 다 떠나서 액션씬이 너무 지렸다.. 특히 마지막 스파이더 센스에 의존하며 환상속에서 싸우는씬은 진짜...  ","어허어(gusg****)","2019.07.02 18:07",10
"2218","2","저는 그냥 별로였움ㅠㅠ  ","용달이(hjg1****)","2019.07.02 16:52",2
"2219","7","미스테리오는 골치 아플정도로 막강했지만 이야기는 다소 산만했다. 쿠키영상은 충격적이였고 그때 등장한 인물은 너무 반가웠다. 지금도 훌륭하지만 다시 만난 반가움에 왠지 그때가 그리워졌다.  ","라무네스(juli****)","2019.07.02 14:36",7
"2220","6","톰홀랜드 스파이더맨은 좋다 그런데 소니와 콜롬비아의 스파이더맨은 뭐하자는 시츄레이션인건지...좋은 배우 데려다두고 마블다움을 잃어버린 소니 콜롬비아 스파이더맨...진정 연출에 비해 배우들이 가깝다 진짜...  ","Yosikatu(cesc****)","2019.07.02 13:17",6
"2221","4","기대이하... 솔직히 알라딘이 훨 재밌다..  ","양초인형(boom****)","2019.07.02 11:25",4
"2222","1","에효... 아이언맨 없으니까, 연계성도 없고 별로 재미 없어요. 그리고, 이제 좀 지긋지긋하다...~!  ","소나무(lake****)","2019.07.02 10:47",1
"2223","10","와..쿠키영상 대박임.. 뜻밖의 인물이 나오네요. 반가워요 jk ㅋㅋㅋㅋ 피터파커는 불행의 아이콘인가ㅜㅠ 결국 전세계적으로 정체가 탄로남ㅜㅠ  ","Renny0908(jisu****)","2019.07.02 10:33",10
"2224","10","토미 연기 완전 잘함 ㅠㅠㅠ  ","dfjasfndeo(test****)","2019.07.02 10:13",10
"2225","8","너무 무겁지도 않고 가볍게 볼수있음..  ","mesp****","2019.07.02 10:08",8
"2226","10","김피터 찌리릿 멋졌으~ 스파이더맨의 하이틴 요소 / 액션 / 음악 매끈하게 잘 뺐어~ 미스테리오 질렌할 아님 어쩔뻔~ 두번째 쿠키 캡틴마블 안봤으면 이해안됨!  ","달려라한이(simo****)","2019.07.02 10:03",10
"2227","6","어제 4dx로 심야로 봣는데... 예전 어메이징 4dx로 보고 뉴욕 건물 사이사이를 날아다닐때 그 효과를 기대하고 봣은데 이번 파프롬은 스토리 위주라 중간에 액션신 많이 없는 부분은 4dx 효과가 거의 없어요 그냥 2d로 봐도 무난할 듯 지루했던..ㅠ  ","막대사탕(jin_****)","2019.07.02 09:51",6
"2228","10","보면서 피터 팅글이 아주 지리게 옵니다  ","사람(wkdt****)","2019.07.02 09:45",10
"2229","10","역시 스퐈이더맨! 너무재밌어요ㅎ  ","ksw3****","2019.07.02 09:02",10
"2230","10","그들을 추모하며...  ","kogs****","2019.07.02 09:00",10
"2231","2","재미멊음?넘 만화같은 영상~~  ","수선화(buso****)","2019.07.03 08:20",2
"2232","9","재밌어요 소니에선 절대 이렇게 못만듬  ","libe****","2019.07.03 04:58",9
"2233","4","마블의 한계를 보게된 후 라서 기대를 안하고 봤는데도 재미를 못 느꼈다. 홈커밍과 같은 소재의 이야기들이다. 연애,아이언맨의 자투리 스토리에서 탄생하는 악당..스토리는 다운그레이드..CG를 난발하지만 눈의 즐거움도 없다.맙소니가 제작한 DC영화!!  ","별사이다(7ups****)","2019.07.03 04:02",4
"2234","5","솔직히 별루에요.. 안봐도 될만한 영화입니다..  ","advance(gksa****)","2019.07.02 23:19",5
"2235","2","번외편 같았다. 지루했다, 뭔가 어거지로 이야기를 만든 느낌이다., 유치하단 생각 들었다.. 액션씬만 재밌었다.  ","KIHO(qqpp****)","2019.07.02 21:12",2
"2236","1","개인적으론 별로였어요  ","ㅇ특공대(wall****)","2019.07.02 20:54",1
"2237","2","솔직히 노잼...미안합니다..  ","김선재(kkj0****)","2019.07.02 18:09",2
"2238","2","음 ...? 할 정도의 내용 전개와 아주 답답한 스파이더맨의 행동에서 나이가 어리려니 해도 그 사이에 느껴지는 괴리감이 상당히 큼 결론 그냥 그냥 기대 이하  ","5 damn It(5sem****)","2019.07.02 17:21",2
"2239","1","성장쇼는 1편으로 족하다2편도 성장쇼라니; 심지어 임팩트 없는 빌런이 다음편도..  ","Nihil(whit****)","2019.07.02 13:42",1
"2240","9","피터가 가는 모든 곳에 토니가 있었고, 그의 그림자 속이었다. 모두가 제 2의 아이언맨을 원할 때 성장한 피터는 제 1의 스파이더맨이 된 것.  ","김안솔(aass****)","2019.07.02 12:50",9
"2241","6","별루다진심엔드게임한번더보는게  ","cho(choi****)","2019.07.02 10:14",6
"2242","10","여름방학용 가족영화로 최고입니다 친구들이랑 보기도 연인과 보기에도 가족들이랑 보기에도 최고에요 그정도로 최근 마블영화중 가장 재밌었고 웃으면서 흐뭇하게 영화관 나올 수 있는 영화였습니다 액션도 볼거리도 충분합니다  ","류아(jmyo****)","2019.07.02 09:03",10
"2243","2","아이언맨4인지 스파이더맨인지...ㅜㅜ  ","또리(haha****)","2019.07.02 20:56",2
"2244","4","방금 영화보고 쿠키영상 기다리고있다. 처음 평점을 매긴다. 영화 재미없다. 돈주고 보더라도 시간이 너무 아깝다. 여기 평점은 사기다. 6점대다  ","rele****","2019.07.03 02:47",4
"2245","2","오로라 공주급 막장보지마셈  ","이준성(0615****)","2019.07.02 13:45",2
"2246","4","솔직히 유치했다 재미도 없다 대단한 반전 있을 줄 알았는데 그런거 하나도 없다 걍 나중에 집에서 보는게 현명 감동도 없다  ","dlfma(jhle****)","2019.07.02 10:52",4
"2247","3","솔직히 그저 그랬다. 미쳐버릴 정도로 뻔함. 또오옥같은 플롯. 그놈의 미국 히어로 영화 여자친구랑 사귀는 과정 패턴..개성이나 심도 없는 악당.. 베뎃은 무조건 알바가 맞고..토니 스타크와 감동 전개? 정말로 별 거 없음.  ","태양(sou5****)","2019.07.03 08:27",3
"2248","1","별10개준애들다알바다ㅋ속지마 이제마블도하락세구나  노잼  ","굳보이(mugu****)","2019.07.03 05:44",1
"2249","10","쨩잼!!!보는 나도 어지러웠당 나두 찌리릭이 필요해  ","3학년설계소수민(smk0****)","2019.07.03 13:41",10
"2250","10","존잼 이런거 처음 써봄 진짜 ㄹㅇ 꿀잼  ","cyc0****","2019.07.03 13:41",10
"2251","10","전 재밌게 봤읍니다 또 보고싶어요  ","담배피고싶어(kkji****)","2019.07.03 13:40",10
"2252","10","관람객너무너무 재미지게 관람 했네요역시 마블!!!  ","열혈씽어(sura****)","2019.07.03 13:40",10
"2253","10","관람객미스테리오 후반이 아쉽다  ","mago****","2019.07.03 13:40",10
"2254","10","이게 스파이더맨이고 이게 마블이지  ","맹구(lcss****)","2019.07.03 13:38",10
"2255","9","아이언맨의 부재가 좀 다소 아쉬웠지만 ,피터의 고공 거미줄 액션이 정말 기대 할만 했던거 같네요!!  ","i love Red Velvet(wert****)","2019.07.03 13:35",9
"2256","10","볼만한 영화 입니다..  ","콩콩콩(wing****)","2019.07.03 13:35",10
"2257","8","스파이더맨 시리즈중 상위권 입니ㆍ  ","검객(yhjr****)","2019.07.03 13:34",8
"2258","10","스파이언맨!!대박입니다  ","Yongbly(haha****)","2019.07.03 13:28",10
"2259","10","런던 가기 전까지 매우 재밌다. 런던에거 조금 아쉽지만 쿠키영상때문에 다시 플러스  ","jungeun(undo****)","2019.07.03 13:28",10
"2260","10","영화 보는 내내..스타크가 생각이 나네..스토리 독특하고 전개 좋았어요..  ","잭슨짱(kjh1****)","2019.07.03 13:28",10
"2261","8","홈커밍을 재미있게 보긴했지만 액션씬,스케일부분이 조금 아쉬웠는데 파프롬홈은 그 아쉬웠던 부분들이 채워져있어서 만족스러웠다  ","쉐이크쇼(meko****)","2019.07.03 13:28",8
"2262","10","오텨르베니타유요누캬초나매타유고녀야아  ","서경FC왁스(whdt****)","2019.07.03 13:27",10
"2263","10","관람객쿠키영상은 다들 꼭 보셈 엄청난 반전이 있어서 진짜 놀랬음;; 그리고 지난번 홈커밍보단 액션씬이 많아서 좋았음 역시 CG맛집 마블임  ","옐로(star****)","2019.07.03 13:27",10
